TABLE_NAME,COLUMN_NAME
PROMOTIONS,PROMO_ID
RATINGS,RATING_ID
RATINGS_PROGRAMS,ASSIGN_ID
RATING_CHANGES,CHANGE_ID
RA_CZ,EVENT_ID
RESET_PW_REQS,REQ_ID
RESTRICTIONS,RESTRICTION_ID
SCHEDULED_DOWNTIME,SCHEDULE_ID
SENDGRID_SUPPRESSION_ACTIVITY,ROW_ID
SESSION_BLACKLIST,BLACKLIST_ID
SESSION_KEYS,ROW_ID
SHOPPING_CART_APPL_GC,CERT_ID
SHOPPING_CART_APPL_GC,ORDER_ID
SHOPPING_CART_DONATIONS,ITEM_ID
SHOPPING_CART_GCS,ITEM_ID
SHOPPING_CART_GUEST_PRIVS,ITEM_ID
SHOPPING_CART_JPC,ITEM_ID
SHOPPING_CART_MEMBERSHIPS,ITEM_ID
SHOPPING_CART_WAIVERS,ITEM_ID
SIGNOUTS,SIGNOUT_ID
SIGNOUTS_DEBUG,SNAPSHOT_ID
SIGNOUTS_TESTS,TEST_ID
SIGNOUT_CREW,CREW_ID
SIGNOUT_SNAPSHOTS,SNAPSHOT_DATETIME
SIGNOUT_SNAPSHOTS,PROGRAM_ID
SIGNOUT_SNAPSHOTS,BOAT_ID
SPECIAL_NEEDS,SPEC_ID
STATES,STATE_ID
STRIPE_CHARGE_ATT_LOG,ATTEMPT_ID
STRIPE_TOKENS,TOKEN_ID
SUNSETS,ID
SUNSET_TIMES,ROW_ID
SWIM_PROOF_METHODS,METHOD_ID
SYMON_SCHEDULE,SCHEDULE_ID
TABLE_INFO,TABLE_ID
TAGS,TAG_ID
TEMP_MAKE_INDICES,ID
TEXT_FILES,FILE_ID
UAP_COMMENTS,PERSON_ID
UAP_GROUPS,UAP_GROUP_ID
UAP_GROUP_PRICES,PRICE_ID
USERS,USER_ID
USERS_IPS,USER_ID
USERS_IPS,IP_ADDRESS
USERS_PREFERENCES,ROW_ID
USERS_ROLES,ASSIGN_ID
VERIFY_EMAIL_REQS,REQ_ID
WIKI_ENTRIES,ENTRY_ID
YEARLY_DATES,DATE_ID
YEARLY_DATE_ITEMS,ITEM_ID
